Link,Title,Rating,Price
./Amazon_files/61VuVU94RnL._AC_UL320_.jpg,iPhone 13 (128GB) - Midnight,4.5 out of 5 stars,"52,999"
./Amazon_files/61l9ppRIiqL._AC_UL320_.jpg,iPhone 13 (128GB) - Pink,4.5 out of 5 stars,"52,999"
./Amazon_files/71xb2xkN5qL._AC_UL320_.jpg,iPhone 13 (256GB) - Blue,4.5 out of 5 stars,"62,999"
./Amazon_files/71GLMJ7TQiL._AC_UL320_.jpg,iPhone 13 (256GB) - Starlight,4.5 out of 5 stars,"62,999"
./Amazon_files/61VuVU94RnL._AC_UL320_.jpg,iPhone 13 (256GB) - Midnight,4.5 out of 5 stars,"61,999"
./Amazon_files/611mRs-imxL._AC_UL320_.jpg,iPhone 14 (256 GB) - (Product) RED,4.5 out of 5 stars,"65,999"
./Amazon_files/61cwywLZR-L._AC_UL320_.jpg,iPhone 14 (128 GB) - Midnight,4.5 out of 5 stars,
./Amazon_files/61B0+qQriPL._AC_UL320_.jpg,iPhone 14 Plus (128 GB) - Midnight,4.5 out of 5 stars,"66,999"
./Amazon_files/61b7Ew7kjYL._AC_UL320_.jpg,iPhone 14 Plus (128 GB) - Starlight,4.5 out of 5 stars,"66,999"
./Amazon_files/71d7rfSl0wL._AC_UL320_.jpg,iPhone 15 (256 GB) - Blue,4.5 out of 5 stars,"84,900"
./Amazon_files/71gm8v4uPBL._AC_UL320_.jpg,iPhone 13 (256GB) - (Product) RED,4.5 out of 5 stars,"62,999"
./Amazon_files/71657TiFeHL._AC_UL320_.jpg,iPhone 15 (256 GB) - Black,4.5 out of 5 stars,"84,900"
./Amazon_files/81fxjeu8fdL._AC_UL320_.jpg,iPhone 15 Pro Max (256 GB) - Blue Titanium,4.5 out of 5 stars,"1,56,900"
./Amazon_files/81CgtwSII3L._AC_UL320_.jpg,iPhone 15 Pro (128 GB) - Natural Titanium,4.0 out of 5 stars,"1,30,990"
./Amazon_files/71PjpS59XLL._AC_UL320_.jpg,iPhone 15 Plus (256 GB) - Blue,4.5 out of 5 stars,"92,990"
./Amazon_files/81c50PU+lpL._AC_UL320_.jpg,iPhone 15 Pro Max (256 GB) - White Titanium,4.5 out of 5 stars,"1,56,900"
./Amazon_files/81CgtwSII3L._AC_UL320_.jpg,iPhone 15 Pro (256 GB) - Natural Titanium,4.0 out of 5 stars,"1,40,990"
./Amazon_files/71zFRCcMS2L._AC_UL320_.jpg,iPhone 15 Plus (256 GB) - Black,4.5 out of 5 stars,"92,990"
./Amazon_files/71bErtQPC3L._AC_UL320_.jpg,iPhone 15 Plus (256 GB) - Pink,4.5 out of 5 stars,"92,990"
./Amazon_files/81Os1SDWpcL._AC_UL320_.jpg,iPhone 15 Pro Max (256 GB) - Black Titanium,4.5 out of 5 stars,"1,56,900"
./Amazon_files/716fAVud8PL._AC_UL320_.jpg,iPhone 14 Plus (128 GB) - (Product) RED,4.5 out of 5 stars,"74,900"
./Amazon_files/81+GIkwqLIL._AC_UL320_.jpg,iPhone 15 Pro (128 GB) - Black Titanium,4.0 out of 5 stars,"1,30,990"
./Amazon_files/71emcsxsRPL._AC_UL320_.jpg,iPhone 14 Plus (128 GB) - Yellow,4.5 out of 5 stars,"72,990"
./Amazon_files/81SigpJN1KL._AC_UL320_.jpg,iPhone 15 Pro (128 GB) - Blue Titanium,4.0 out of 5 stars,"1,30,990"
